Année	Shape
2005	(87026, 18)
2006	(82993, 18)
2007	(83850, 18)
2008	(76767, 18)
2009	(74409, 18)
2010	(69379, 18)
2011	(66974, 18)
2012	(62250, 18)
2013	(58397, 18)
2014	(59854, 18)
2015	(58654, 18)
2016	(59432, 18)
2017	(60701, 18)
2018	(57783, 18)
2019	(58840, 18)
2020	(47744, 18)
2021	(56518, 18)
2022	(55302, 18)
