Année	Shape
2005	(149764, 9)
2006	(142300, 9)
2007	(144130, 9)
2008	(131048, 9)
2009	(126347, 9)
2010	(117743, 9)
2011	(113854, 9)
2012	(105814, 9)
2013	(98925, 9)
2014	(101762, 9)
2015	(99778, 9)
2016	(101924, 9)
2017	(103546, 9)
2018	(98876, 9)
2019	(100710, 11)
2020	(81066, 11)
2021	(97315, 11)
2022	(94493, 11)
