Année	Shape
2005	(197498, 12)
2006	(187085, 12)
2007	(188457, 12)
2008	(170960, 12)
2009	(165962, 12)
2010	(154192, 12)
2011	(148543, 12)
2012	(138628, 12)
2013	(128694, 12)
2014	(132186, 12)
2015	(130378, 12)
2016	(133422, 12)
2017	(136021, 12)
2018	(130169, 12)
2019	(132977, 15)
2020	(105295, 15)
2021	(129248, 16)
2022	(126662, 16)
