	precision	recall	f1-score	support
0	0.80	0.75	0.77	17765
1	0.76	0.81	0.79	17764
accuracy			0.78	35529
macro avg	0.78	0.78	0.78	35529
weighted avg	0.78	0.78	0.78	35529
