	Type	Val_unique	Val_notnull	Val_null	%_null
Num_Acc	int64	1176873	2009395	0	0.00
senc	float64	5	2009123	272	0.01
catv	int64	41	2009395	0	0.00
occutc	float64	124	1638885	370510	18.44
obs	float64	19	2008389	1006	0.05
obsm	float64	8	2008617	778	0.04
choc	float64	11	2008998	397	0.02
manv	float64	28	2008927	468	0.02
num_veh	object	189	2009395	0	0.00
id_vehicule	object	373584	373584	1635811	81.41
motor	float64	8	373584	1635811	81.41
